#OTU ID	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_3103	7	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_479	186	0	0	0	2	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_631	67	61	133	91	197	0	0	0	0	0	0	0	0	0	0	58	70	145	134	188	0	0	0	0	0	0	1	0	3	0	0	2	1	1	0	0	0	0	2	0
OTU_24	2	2	0	0	47	361	112	1333	1649	277	114	345	9478	5537	393	1	4	0	2	56	326	350	98	8782	627	302	6	116	1	9	294	113	9	14	4	9	6	116	0	4
OTU_1305	27	2	10	1	13	0	0	0	0	0	0	0	0	0	0	10	2	6	3	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_51	113	65	713	105	185	299	372	97	130	104	4358	529	274	134	140	120	84	701	95	164	736	174	5175	260	207	146	19	134	330	14	130	113	108	0	5	0	18	138	424	11
OTU_394	51	34	17	73	17	0	0	18	1	0	2	0	1	0	2	56	60	37	84	14	0	0	2	0	7	0	3	5	0	7	0	1	0	0	0	6	0	0	0	3
OTU_1528	5	3	10	4	6	0	0	0	0	0	0	0	0	0	0	0	3	8	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_323	50	16	201	50	202	0	0	4	36	4	0	0	0	0	1	55	44	239	34	196	0	2	3	2	1	0	0	0	0	0	6	0	2	0	0	0	0	1	0	4
OTU_253	10	2	33	5	300	0	0	0	3	0	2	0	0	2	0	8	7	19	2	280	0	1	4	0	0	2	0	8	0	23	0	0	1	3	3	364	5	1	0	26
OTU_1312	9	4	34	2	16	0	0	0	0	0	0	0	0	0	0	7	2	23	8	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
