OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_2531	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2502	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	Unassigned
OTU_2500	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
OTU_2532	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2533	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2556	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2552	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2551	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2529	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	Arthrobotrys_thaumasia_SH221771.07FU
OTU_2554	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2553	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2560	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2558	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2565	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2568	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2562	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Unassigned	Unassigned
OTU_2600	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2539	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_grisea_SH374010.07FU
OTU_2578	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Harzia	Harzia_acremonioides_SH188461.07FU
OTU_2543	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	Unassigned
OTU_2542	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Unassigned
OTU_2614	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2563	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Unassigned	Unassigned	Unassigned
OTU_2633	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthe	Magnaporthe_oryzae_SH493730.07FU
OTU_2579	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales_fam_Incertae_sedis	Minimedusa	Minimedusa_polyspora_SH201128.07FU
OTU_2584	Fungi	Basidiomycota	Agaricomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2635	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2606	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2628	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2571	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Unassigned
OTU_2642	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2643	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2597	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2662	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2573	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2680	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2666	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2670	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2671	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2537	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2678	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2684	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2685	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2672	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2690	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2696	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2709	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2704	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2708	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2700	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2710	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2721	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2725	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2731	Fungi	Basidiomycota	Agaricomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2719	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2726	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2736	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2744	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2664	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Unassigned	Unassigned	Unassigned
OTU_2734	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2764	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_2772	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
