bacOTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
bacOTU_351	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_saliperosum
bacOTU_350	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Pectinatus	Thermoanaerobacterium_thermosulfurigenes
bacOTU_353	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfobaculum_xiamenense
bacOTU_363	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	Amaricoccus_macauensis
bacOTU_354	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Moheibacter	Moheibacter_sediminis
bacOTU_366	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	Peredibacter_starrii
bacOTU_368	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Thermoleophilum_album
bacOTU_372	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Fodinicurvata_fenggangensis
bacOTU_358	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Rhizocola	Rhizocola_hellebori
bacOTU_348	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Skermanella_aerolata
bacOTU_359	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta
